"","Region","Year","PopTotal","GDPTotal","CarbonTotal","GDP","CO2","Tech"
"52"," Australia_NZ",1960,10292.328,90478910832.6747,24053000,8790.90822141256,2.33698343076513,2.658409543024
"53"," Australia_NZ",1961,10494.911,90813913004.1342,24704000,8653.13798317434,2.35390276296769,2.72028802446552
"54"," Australia_NZ",1962,10691.22,96507487718.3517,25883000,9026.79841200085,2.42095850613868,2.68196806402599
"55"," Australia_NZ",1963,10892.7,102390449096.726,27551000,9399.91453879445,2.52930861953418,2.69077831409579
"56"," Australia_NZ",1964,11114.995,109470519568.733,29719000,9848.90407676597,2.67377538181529,2.71479482486061
"57"," Australia_NZ",1965,11368.011,115406431451.291,32988000,10151.8578273096,2.901826889506,2.85841955124684
"58"," Australia_NZ",1966,11657.281,119385510339.394,32815000,10241.282709012,2.81497889602215,2.74865851866881
"59"," Australia_NZ",1967,11975.795,128533171978.824,35251000,10732.7465090062,2.94352065979753,2.74256049681927
"60"," Australia_NZ",1968,12305.53,137185804996.174,36712000,11148.3052738219,2.98337414154449,2.67607862205742
"61"," Australia_NZ",1969,12621.24,145914096074.57,38794000,11560.9952805406,3.07370749625235,2.65868761440115
"62"," Australia_NZ",1970,12904.76,155160959040.012,40256000,12023.544726133,3.11946909512459,2.5944670778697
"63"," Australia_NZ",1971,13150.591,161614473322.821,41662000,12289.5216893918,3.16807054527055,2.57786317917091
"64"," Australia_NZ",1972,13364.238,165775578190.332,42947000,12404.4167868255,3.21357641191365,2.59067110299512
"65"," Australia_NZ",1973,13552.19,174526327139.697,46630000,12878.0903410959,3.44077230322184,2.67180320380407
"66"," Australia_NZ",1974,13725.4,178226021163.165,47002000,12985.1240155599,3.42445393212584,2.63721311249887
"67"," Australia_NZ",1975,13892.674,182964157991.054,47964000,13169.8302278635,3.45246710604452,2.62149704765374
"68"," Australia_NZ",1976,14054.956,190568861210.018,47517000,13558.8372677949,3.38080033832906,2.49342939335895
"69"," Australia_NZ",1977,14211.657,192516398350.232,51210000,13546.3724145771,3.6033799577347,2.66003314205147
"70"," Australia_NZ",1978,14368.543,197835453301.517,55090000,13768.6509551816,3.83407002366211,2.78463738832687
"71"," Australia_NZ",1979,14532.401,208097323689.32,55923000,14319.5418079449,3.84815970877765,2.6873483526146
"72"," Australia_NZ",1980,14708.323,211973985410.82,60198000,14411.8391614611,4.09278474507257,2.83987678409368
